Position,PlayerName,Team,Opponent,Salary,PPG
K,Dan Carpenter,Bills,Ravens,5300,10.4
K,Stephen Gostkowski,Patriots,Falcons,5600,11.9
K,Garrett Hartley,Saints,Dolphins,5600,10.8
K,Nick Folk,Jets,Titans,5300,9.6
K,Nick Novak,Chargers,Cowboys,5500,10.2
K,Alex Henery,Eagles,Broncos,5700,8.9
K,Jay Feely,Cardinals,Buccaneers,5400,7.8
K,Shaun Suisham,Steelers,Vikings,5200,6.5
K,David Akers,Lions,Bears,5500,7.9
K,Josh Scobee,Jaguars,Colts,5000,4.2
K,Billy Cundiff,Browns,Bengals,5500,6.6
K,Randy Bullock,Texans,Seahawks,5400,6.9
K,Blair Walsh,Vikings,Steelers,5500,10.2
K,John Potter,Redskins,Raiders,5400,5.7
K,Justin Tucker,Ravens,Bills,5500,8.6
K,Caleb Sturgis,Dolphins,Saints,5500,12.0
QB,Matt Ryan,Falcons,Patriots,17050,23.2
QB,Jay Cutler,Bears,Lions,13250,19.8
QB,Andy Dalton,Bengals,Browns,12800,18.5
QB,Carson Palmer,Cardinals,Buccaneers,12550,12.8
QB,Tony Romo,Cowboys,Chargers,16300,21.0
QB,Matthew Stafford,Lions,Bears,17250,23.6
QB,Matt Flynn,Raiders,Redskins,10150,0.8
QB,Jake Locker,Titans,Jets,12750,18.3
QB,Peyton Manning,Broncos,Eagles,20000,38.3
QB,Chad Henne,Jaguars,Colts,7700,8.0
QB,Christian Ponder,Vikings,Steelers,10150,15.1
QB,Tom Brady,Patriots,Falcons,16350,17.3
QB,Brian Hoyer,Browns,Bengals,9500,24.6
QB,Drew Brees,Saints,Dolphins,18900,25.7
QB,Eli Manning,Giants,Chiefs,13250,17.8
QB,Michael Vick,Eagles,Broncos,17850,28.6
QB,Ben Roethlisberger,Steelers,Vikings,13650,15.1
QB,Philip Rivers,Chargers,Cowboys,14050,26.6
QB,Alex Smith,Chiefs,Giants,13150,20.7
QB,Josh Freeman,Buccaneers,Cardinals,10850,9.6
QB,Blaine Gabbert,Jaguars,Colts,7400,2.4
QB,Joe Flacco,Ravens,Bills,10800,14.8
QB,Matt Schaub,Texans,Seahawks,11600,20.5
QB,Terrelle Pryor,Raiders,Redskins,14250,17.6
QB,Andrew Luck,Colts,Jaguars,15750,21.5
QB,Robert Griffin III,Redskins,Raiders,15350,21.7
QB,Ryan Tannehill,Dolphins,Saints,12850,16.7
QB,Brandon Weeden,Browns,Bengals,9300,10.7
QB,Russell Wilson,Seahawks,Texans,14550,20.0
QB,Geno Smith,Jets,Titans,11800,16.6
QB,EJ Manuel,Bills,Ravens,11800,19.7
RB,Jacquizz Rodgers,Falcons,Patriots,7450,7.0
FLEX,Jacquizz Rodgers,Falcons,Patriots,7450,7.0
RB,Jason Snelling,Falcons,Patriots,8400,13.6
FLEX,Jason Snelling,Falcons,Patriots,8400,13.6
RB,Fred Jackson,Bills,Ravens,9750,15.7
FLEX,Fred Jackson,Bills,Ravens,9750,15.7
RB,C.J. Spiller,Bills,Ravens,11350,8.4
FLEX,C.J. Spiller,Bills,Ravens,11350,8.4
RB,Matt Forte,Bears,Lions,16100,21.4
FLEX,Matt Forte,Bears,Lions,16100,21.4
RB,Felix Jones,Steelers,Vikings,5000,4.2
